gene,CRISPRn phenotype
ADAM11 ,-0.018447503
ADAM12 ,0.093768789
ADAM15 ,-0.10317093
ADAM17 ,-0.03547856
ADAM18 ,0.152113449
ADAM19 ,-0.035265394
ADAM2 ,0.060736967
ADAM20 ,0.25114544
ADAM21 ,-0.087105446
ADAM22 ,-0.026119874
ADAM23 ,-0.074993366
ADAM28 ,0.102061517
ADAM29 ,-0.017270554
ADAM30 ,-0.155574188
ADAM32 ,0.055838437
ADAM33 ,-0.16953854
ADAM7 ,0.012312213
ADAM8 ,0.190399048
ADAM9 ,-0.040078057
ADAMDEC1 ,0.093838914
ADAMTS1 ,-0.030540845
ADAMTS10 ,-0.006295832
ADAMTS12 ,0.1782054
ADAMTS13 ,0.078484991
ADAMTS14 ,-0.128567529
ADAMTS15 ,0.058268007
ADAMTS16 ,0.227537658
ADAMTS17 ,-0.110237504
ADAMTS18 ,0.033279238
ADAMTS19 ,0.064448699
ADAMTS2 ,0.034130976
ADAMTS20 ,0.06793451
ADAMTS3 ,-0.008511192
ADAMTS4 ,0.055167334
ADAMTS5 ,0.057473075
ADAMTS6 ,-0.221780288
ADAMTS7 ,-0.295378307
ADAMTS8 ,-0.016212754
ADAMTS9 ,0.114103187
ADAMTSL1 ,0.057634335
ADAMTSL2 ,0.09637177
ADAMTSL3 ,0.056003718
ADAMTSL4 ,-0.246241303
ADAMTSL5 ,-0.184161775
ADAP1 ,0.113301466
ADAP2 ,-0.085395222
ADAR ,0.040739268
ADARB1 ,0.037425275
ADARB2 ,0.088271941
ADAT1 ,-0.039923114
ADAT2 ,-0.165015932
ADAT3 ,-0.562986624
ADCK1 ,-0.022137586
ADCK2 ,0.095288508
ADCK5 ,0.155543689
ADCY1 ,-0.002266198
ADCY10 ,-0.171166745
ADCY2 ,0.056239163
ADCY3 ,-0.238203426
ADCY4 ,-0.112248959
ADCY5 ,-0.049956064
ADCY6 ,0.007216298
ADCY7 ,-0.052436987
ADCY8 ,-0.04270681
ADCY9 ,0.162884753
ADCYAP1 ,0.044900807
ADCYAP1R1 ,-0.027885782
ADD1 ,0.035450922
ADD2 ,0.037033754
ADD3 ,0.082199322
ADGRA1 ,0.094997971
ADGRA2 ,0.074493322
ADGRA3 ,-0.205585921
ADGRB1 ,0.127651292
ADGRB2 ,0.079023035
ADGRB3 ,-0.005921051
ADGRD1 ,-0.045699564
ADGRE1 ,-0.014656292
ADGRE2 ,-0.042487309
ADGRE3 ,-0.061043208
ADGRE5 ,0.04962156
ADGRF1 ,-0.002318355
ADGRF3 ,-0.067153505
ADGRF4 ,-0.04040854
ADGRF5 ,0.0139688
ADGRG1 ,-0.15379234
ADGRG2 ,0.102184029
ADGRG3 ,-0.224089733
ADGRG4 ,-0.066857678
ADGRG5 ,0.08925563
ADGRG6 ,0.040623491
ADGRG7 ,0.057511043
ADGRL1 ,-0.063061718
ADGRL2 ,-0.08814651
ADGRL3 ,0.108871727
ADGRL4 ,0.070196928
ADGRV1 ,0.047964512
ADH1A ,-0.005660937
ADH1B ,0.078417334
ADH4 ,0.02441991
ADH5 ,-0.026966445
ADH6 ,0.050437943
ADH7 ,0.029169192
ADHFE1 ,0.010037706
ADI1 ,0.074906426
ADIG ,0.080801692
ADIPOQ ,0.077293912
ADIPOR1 ,0.164673479
ADIPOR2 ,-0.292409987
ADIRF ,-0.054929845
ADK ,-0.037673832
ADM ,0.014108376
ADM2 ,0.024744471
ADM5 ,-0.131882561
ADNP ,-0.177642855
ADNP2 ,-0.053539685
ADO ,-0.043215447
ADORA1 ,-0.033429663
ADORA2A ,-0.112035372
ADORA2B ,0.092301319
ADPGK ,0.012811278
ADPRH ,0.141957183
ADPRHL1 ,0.118242927
ADPRM ,-0.05669895
ADPRS ,-0.00317003
ADRA1A ,0.1004359
ADRA1B ,0.200570093
ADRA1D ,-0.12433258
ADRA2A ,-0.096871302
ADRA2B ,0.054310459
ADRA2C ,-0.023924682
ADRB1 ,0.180175371
ADRB2 ,-0.029427361
ADRB3 ,0.004473904
ADRM1 ,-0.07665934
ADSL ,-1.297631075
ADSS1 ,-0.041749247
ADSS2 ,-0.384991442
ADTRP ,-0.204546692
AEBP1 ,-0.177769126
AEBP2 ,-0.157201455
AEN ,0.209944076
AFAP1 ,-0.03032243
AFAP1L1 ,-0.05222484
AFAP1L2 ,0.093786802
AFDN ,-0.056706548
AFF1 ,0.005962563
AFF2 ,0.13539779
AFF3 ,-0.170688425
AFF4 ,-0.054017968
AFG1L ,0.304026696
AFG3L2 ,-0.996566985
AFM ,0.082065324
AFMID ,-0.069057303
AFP ,0.052084349
AFTPH ,-0.138109587
AGA ,-0.036879099
AGAP1 ,0.078235785
AGAP2 ,-0.246206231
AGAP3 ,-0.173459217
AGAP6 ,-1.012125714
AGBL1 ,-0.037722816
AGBL2 ,0.036435778
AGBL3 ,-0.236461153
AGBL4 ,0.126935606
AGBL5 ,-0.053154728
AGER ,-0.217864289
AGFG1 ,0.135540837
AGFG2 ,-0.318533421
AGGF1 ,-0.094093747
AGK ,0.009467714
AGL ,-0.161337034
AGMAT ,-0.040269193
AGMO ,0.052913151
AGO1 ,-0.10898012
AGO2 ,0.012735148
AGO3 ,-0.164094009
AGO4 ,-0.151629066
AGPAT1 ,-0.429645205
AGPAT2 ,0.159821446
AGPAT3 ,0.038603221
AGPAT4 ,-0.031624086
AGPAT5 ,-0.096174268
AGPS ,-0.012094706
AGR2 ,-0.071083227
AGR3 ,-0.13169429
AGRN ,-0.18339523
AGRP ,0.011163111
AGT ,0.022199508
AGTPBP1 ,0.244382795
AGTR1 ,0.187598541
AGTR2 ,-0.157318998
AGTRAP ,-0.03599515
AGXT ,-0.016832833
AGXT2 ,0.108744767
AHCTF1 ,-0.993345102
AHCY ,-0.816798872
AHCYL1 ,-1.031901528
AHCYL2 ,-0.195489876
AHDC1 ,-0.121885038
AHI1 ,-0.048809476
AHNAK ,-0.005693083
AHNAK2 ,0.035402617
AHR ,-0.015489217
AHRR ,-0.198433211
AHSA1 ,-0.110019784
AHSG ,0.122895881
AHSP ,-0.106300855
AICDA ,0.144585961
AIDA ,0.0987762
AIF1 ,-0.13365424
AIF1L ,-0.39925799
AIFM1 ,-0.044656856
AIFM2 ,-0.18470467
AIFM3 ,-0.54074302
AIG1 ,-0.089655535
AIM2 ,0.115300927
AIMP1 ,-0.073306608
AIMP2 ,-0.070488191
AIP ,-0.071226561
AIPL1 ,0.020023284
AIRE ,-0.05616096
AJAP1 ,0.091112425
AJM1 ,-0.107161023
AJUBA ,-0.10275383
AK1 ,-0.078722458
AK2 ,-0.239117007
AK3 ,0.068431725
AK4 ,-0.517990853
AK5 ,-0.009468132
AK6 ,-0.766796104
AK7 ,0.091230109
AK8 ,-0.049474135
AK9 ,0.017942992
AKAIN1 ,0.108367215
AKAP1 ,0.090847062
AKAP10 ,-0.032944219
AKAP11 ,-0.052713007
AKAP12 ,-7.60E-06
AKAP13 ,0.015478689
AKAP14 ,0.062912197
AKAP17A ,0.006255512
AKAP3 ,-0.150492394
AKAP4 ,0.020206777
AKAP5 ,-0.141134798
AKAP6 ,0.032855758
AKAP7 ,0.088269066
AKAP8 ,-0.010636837
AKAP8L ,-0.124907916
AKAP9 ,0.173555653
AKIP1 ,-0.115905982
AKIRIN1 ,-0.32836056
AKIRIN2 ,-0.632064607
AKNA ,0.089632673
AKNAD1 ,-0.196198831
AKR1A1 ,-0.116184062
AKR1B1 ,-0.064463415
AKR1B10 ,-0.174086442
AKR1B15 ,-0.503025313
AKR1C2 ,0.033435317
AKR1C3 ,-0.060718961
AKR1C4 ,-0.051707412
AKR1D1 ,-0.026366289
AKR1E2 ,0.058797648
AKR7A2 ,-0.059598413
AKR7A3 ,-0.305579523
AKT1 ,0.070000832
AKT1S1 ,0.062526823
AKT2 ,-0.190780971
AKT3 ,-0.003879075
AKTIP ,-0.352808496
ALAD ,-0.147722039
ALAS1 ,0.115811996
ALAS2 ,0.232492027
ALB ,0.002357714
ALCAM ,-0.021864923
ALDH16A1 ,-0.027331791
ALDH18A1 ,-0.658127143
ALDH1A1 ,0.197211864
ALDH1A2 ,0.046779753
ALDH1A3 ,0.04630965
ALDH1B1 ,-0.088686163
ALDH1L1 ,0.141901843
ALDH1L2 ,-0.029085537
ALDH2 ,0.038740837
ALDH3A1 ,0.017628546
ALDH3A2 ,-0.102929203
ALDH3B2 ,-0.131452443
ALDH4A1 ,-0.01529277
ALDH5A1 ,0.039499119
ALDH6A1 ,-0.173584273
ALDH7A1 ,0.173747844
ALDH8A1 ,0.027808876
ALDH9A1 ,-0.135406008
ALDOA ,-0.458717475
ALDOB ,0.003016562
ALDOC ,-0.125575907
ALG1 ,-0.35156771
ALG10 ,0.138828016
ALG10B ,-0.027926405
ALG11 ,-1.244306456
ALG12 ,-0.124395054
ALG13 ,-0.33742446
ALG14 ,-0.631152057
ALG1L ,-1.141053659
ALG2 ,-0.486847838
ALG3 ,-0.043630232
ALG5 ,-0.020532383
ALG6 ,0.030506844
ALG8 ,-0.200587108
ALG9 ,-0.059545201
ALK ,-0.09724065
ALKAL1 ,0.045675758
ALKAL2 ,0.13774402
ALKBH1 ,-0.024224498
ALKBH2 ,0.003863218
ALKBH3 ,0.061586395
ALKBH4 ,-0.208364865
ALKBH5 ,0.13277283
ALKBH6 ,-0.017952664
ALKBH7 ,-0.150979561
ALKBH8 ,-0.08967744
ALLC ,0.085463649
ALMS1 ,-0.107930385
ALOX12 ,0.174940181
ALOX12B ,-0.053883293
ALOX15 ,0.08273634
ALOX15B ,0.001256978
ALOX5 ,-0.507882355
ALOX5AP ,0.063987827
ALOXE3 ,-0.229683535
ALPG ,0.122681671
ALPI ,-0.084336249
ALPK1 ,0.217958116
ALPK2 ,0.015100273
ALPK3 ,-0.159994198
ALPL ,-0.042823543
ALPP ,0.178049793
ALS2 ,-0.048211127
ALS2CL ,-0.062973229
ALX1 ,-0.032792227
ALX3 ,-0.21022465
ALX4 ,0.039564355
ALYREF ,-1.100289608
AMACR ,-0.020978937
AMBN ,0.044680785
AMBP ,-0.076473769
AMBRA1 ,-0.045415603
AMD1 ,-0.494600612
AMDHD1 ,-0.032786137
AMDHD2 ,-0.049440768
AMELX ,0.075986178
AMER1 ,0.117962098
AMER2 ,-0.105627842
AMER3 ,0.045108724
AMFR ,0.012997943
AMH ,0.000929489
AMHR2 ,0.011893304
AMIGO1 ,-0.054181243
AMIGO2 ,0.100508874
AMIGO3 ,-0.001128013
AMMECR1 ,-0.045253895
AMMECR1L ,0.007613474
AMN ,0.279783053
AMN1 ,-0.135973607
AMOT ,0.143434802
AMOTL1 ,-0.133459888
AMOTL2 ,0.092746794
AMPD1 ,-0.307488251
AMPD2 ,-0.106089074
AMPD3 ,0.256421314
AMPH ,0.00651214
AMT ,-0.082803669
AMTN ,0.208302316
AMY2A ,0.145603158
AMZ1 ,0.204966521
AMZ2 ,0.09448241
ANAPC1 ,-1.783780986
ANAPC10 ,-1.485936671
ANAPC11 ,-2.231714254
ANAPC13 ,-0.832604478
ANAPC15 ,-1.456219591
ANAPC16 ,-0.262829485
ANAPC2 ,-1.534309664
ANAPC4 ,-2.267284229
ANAPC5 ,-1.738854355
ANAPC7 ,-0.28237431
ANG ,-0.018852046
ANGEL1 ,-0.047211649
ANGEL2 ,-0.296234139
ANGPT1 ,0.072607496
ANGPT2 ,-0.067687162
ANGPT4 ,0.271224943
ANGPTL1 ,-0.091223542
ANGPTL2 ,0.036448674
ANGPTL3 ,-0.041386601
ANGPTL4 ,-0.127066851
ANGPTL5 ,-0.00602558
ANGPTL6 ,-0.15679963
ANGPTL7 ,-0.044659072
ANGPTL8 ,-0.039064796
ANHX ,-0.082638886
ANK1 ,0.241198989
ANK2 ,0.124857098
ANK3 ,-0.096028752
ANKAR ,0.057999275
ANKDD1A ,-0.05295574
ANKDD1B ,0.056206268
ANKEF1 ,0.027713733
ANKFN1 ,0.03522526
ANKFY1 ,-0.173200308
ANKH ,0.029458678
ANKHD1 ,0.065708215
ANKIB1 ,-0.173090542
ANKK1 ,0.079806209
ANKLE1 ,0.024957753
ANKLE2 ,-2.347964949
ANKMY1 ,0.058283038
ANKMY2 ,-0.393884363
ANKRA2 ,-0.263947249
ANKRD1 ,0.155756067
ANKRD10 ,0.200834215
ANKRD11 ,-0.546240208
ANKRD12 ,-0.062370734
ANKRD13A ,0.111015646
ANKRD13B ,-0.098603416
ANKRD13C ,0.138420545
ANKRD13D ,0.024456307
ANKRD16 ,0.059544739
ANKRD17 ,0.288216368
ANKRD18A ,0.11516676
ANKRD2 ,-0.08504257
ANKRD22 ,-0.024793837
ANKRD23 ,-0.224483305
ANKRD24 ,-0.170304893
ANKRD26 ,0.129234757
ANKRD27 ,-0.24053875
ANKRD28 ,-0.019053481
ANKRD29 ,0.034942727
ANKRD30A ,-0.06443913
ANKRD30B ,0.053123526
ANKRD31 ,-0.240067919
ANKRD33 ,-0.044368645
ANKRD33B ,-0.10076549
ANKRD34A ,0.099054223
ANKRD34B ,-0.119853337
ANKRD34C ,0.032780279
ANKRD35 ,-0.203888628
ANKRD37 ,-0.017483552
ANKRD39 ,-0.414020464
ANKRD40 ,-0.095656624
ANKRD42 ,0.03201759
ANKRD44 ,0.065272614
ANKRD45 ,0.084441153
ANKRD46 ,0.255788116
ANKRD49 ,-0.478074316
ANKRD50 ,0.241073148
ANKRD52 ,0.036314534
ANKRD53 ,-0.084800029
ANKRD54 ,-0.056294987
ANKRD55 ,0.048623984
ANKRD6 ,-0.058019218
ANKRD61 ,0.105770757
ANKRD62 ,-0.019939848
ANKRD65 ,-0.685326768
ANKRD66 ,-0.223834719
ANKRD7 ,0.050405538
ANKRD9 ,-0.06421929
ANKS1A ,-0.171444433
ANKS3 ,0.083499838
ANKS4B ,0.145970099
ANKS6 ,-0.363527298
ANKZF1 ,-0.078255721
ANLN ,0.125892011
ANO1 ,-0.138185011
ANO10 ,-0.099317223
ANO3 ,-0.023040823
ANO4 ,-0.010173383
ANO5 ,-0.108032359
ANO6 ,0.011988759
ANO7 ,0.00020871
ANO8 ,0.07228804
ANO9 ,0.043241572
ANOS1 ,0.103728589
ANP32A ,0.162459807
ANP32B ,-0.226151352
ANP32D ,-0.074194446
ANP32E ,-0.234889906
ANPEP ,0.026321598
ANTKMT ,-0.01827684
ANTXR1 ,0.164308837
ANTXR2 ,-0.279904836
ANTXRL ,-0.577654177
ANXA1 ,0.136905931
ANXA10 ,-0.09228864
ANXA11 ,-0.179977453
ANXA13 ,0.108048549
ANXA2 ,-0.032005226
ANXA2R ,-0.188649588
ANXA3 ,-0.034128115
ANXA4 ,0.054032078
ANXA5 ,0.109068622
ANXA6 ,0.08188805
ANXA7 ,-0.503694434
ANXA9 ,-0.019580026
AOAH ,0.305711262
AOC1 ,0.024629684
AOC2 ,-0.184857691
AOC3 ,-0.063040004
AOPEP ,0.088576859
AOX1 ,0.12284554
AP1AR ,0.056378483
AP1B1 ,-0.092211479
AP1G1 ,-0.025683042
AP1G2 ,-0.146485416
AP1M1 ,0.035894829
AP1M2 ,-0.062876478
AP1S1 ,-0.004312567
AP1S2 ,-0.018584305
AP1S3 ,0.146441085
AP2A1 ,-0.163420897
AP2A2 ,0.007177918
AP2B1 ,-0.308927744
AP2M1 ,-0.721949767
AP2S1 ,-1.005439004
AP3B1 ,0.205057119
AP3B2 ,-0.014135934
AP3D1 ,-0.052755805
AP3M1 ,-0.213086286
AP3M2 ,-0.230855205
AP3S1 ,-0.165647723
AP3S2 ,-0.00838993
AP4B1 ,-0.31548869
AP4E1 ,-0.064392651
AP4M1 ,0.026011598
AP4S1 ,-0.147920765
AP5B1 ,-0.103612482
AP5M1 ,-0.095992215
AP5S1 ,-0.037832891
AP5Z1 ,-0.095306401
APAF1 ,-0.060791218
APBA1 ,-0.003176036
APBA2 ,-0.265526264
APBA3 ,-0.171106429
APBB1 ,0.000826303
APBB1IP ,-0.100003691
APBB2 ,0.021005193
APBB3 ,0.045424297
APC ,-0.136845131
APC2 ,-0.157219433
APCDD1 ,0.004315065
APCDD1L ,-0.195958945
APCS ,0.02563586
APEH ,-0.080542143
APEX1 ,-0.045427101
APEX2 ,-0.142405337
APH1A ,-0.112950557
APH1B ,0.055037032
API5 ,0.095937516
APIP ,-0.083334938
APLF ,-0.097119158
APLN ,0.105472781
APLNR ,-0.207871297
APLP1 ,-0.236767509
APLP2 ,0.083557818
APMAP ,0.02117724
APOA1 ,-0.155073122
APOA2 ,-0.039969773
APOA4 ,0.064772629
APOA5 ,0.111284425
APOB ,-0.003451667
APOBEC1 ,0.014934541
APOBEC2 ,-0.35458149
APOBEC3A ,0.046280539
APOBEC3B ,0.115072072
APOBEC3C ,-0.17281842
APOBEC3D ,-0.014957087
APOBEC3G ,0.026143412
APOBEC3H ,0.084276871
APOBEC4 ,-0.05685321
APOBR ,0.045119823
APOC1 ,-0.120807822
APOC2 ,-0.21181479
APOC3 ,0.085254807
APOC4 ,-0.007092521
APOD ,-0.088718373
APOE ,-0.203512734
APOF ,-0.135963818
APOH ,0.041190214
APOL1 ,0.122363363
APOL2 ,-0.049802505
APOL3 ,0.208924593
APOL5 ,-0.00910131
APOL6 ,0.12350532
APOLD1 ,-0.184338896
APOM ,-0.230576543
APOO ,-0.015089826
APOOL ,-0.123194227
APP ,0.11520969
APPBP2 ,-0.052992464
APPL1 ,0.024332733
APPL2 ,0.137158541
APRT ,-0.426803749
APTX ,0.051292652
AQP1 ,-0.115286348
AQP10 ,-0.114654053
AQP11 ,0.183217052
AQP12B ,0.072331952
AQP2 ,-0.039089444
AQP3 ,0.011643329
AQP4 ,0.071802167
AQP5 ,0.091746379
AQP6 ,-0.138566355
AQP7 ,-0.593160784
AQP8 ,-0.070976055
AQP9 ,-0.128668894
AQR ,-2.030105819
AR ,0.147698188
ARAF ,0.099654812
ARAP1 ,-0.205193138
ARAP2 ,-0.08791297
ARAP3 ,-0.051156601
ARC ,0.088071863
ARCN1 ,-0.909623605
AREG ,0.030798603
AREL1 ,-0.13519686
ARF1 ,-0.151754595
ARF3 ,-0.338699073
ARF4 ,-0.344494026
ARF5 ,-0.125631436
ARF6 ,-0.190154538
ARFGAP1 ,-0.023725672
ARFGAP2 ,0.253707693
ARFGAP3 ,0.04338092
ARFGEF1 ,-0.042512134
ARFGEF2 ,-0.03045478
ARFGEF3 ,0.032216272
ARFIP1 ,0.111038583
ARFIP2 ,0.034884897
ARFRP1 ,-0.612077517
ARG1 ,0.092647397
ARG2 ,-0.018881566
ARGFX ,-0.344740688
ARGLU1 ,-1.124675143
ARHGAP1 ,0.053907152
ARHGAP10 ,0.045386607
ARHGAP11A ,-0.193864187
ARHGAP12 ,-0.248345004
ARHGAP15 ,0.086711951
ARHGAP17 ,0.037126731
ARHGAP18 ,-0.00780312
ARHGAP19 ,-0.175199604
ARHGAP20 ,-0.020310109
ARHGAP21 ,-0.207221607
ARHGAP22 ,0.020363979
ARHGAP23 ,-0.063040185
ARHGAP24 ,-0.127206492
ARHGAP25 ,-0.003760714
ARHGAP26 ,-0.019224527
ARHGAP27 ,-0.292768688
ARHGAP28 ,-0.198556452
ARHGAP29 ,-0.093810455
ARHGAP30 ,-0.356633469
ARHGAP31 ,0.011208469
ARHGAP32 ,0.090512879
ARHGAP33 ,-0.061778952
ARHGAP35 ,0.088154887
ARHGAP36 ,-0.100343245
ARHGAP39 ,0.055852422
ARHGAP4 ,-0.125049195
ARHGAP44 ,0.152996297
ARHGAP45 ,-0.323323485
ARHGAP5 ,-0.042211186
ARHGAP6 ,-0.067339818
ARHGAP8 ,0.038751954
ARHGAP9 ,-0.232594443
ARHGDIA ,0.132002014
ARHGDIB ,-0.037961465
ARHGDIG ,-0.142269748
ARHGEF1 ,0.129554718
ARHGEF10 ,0.095470861
ARHGEF10L ,0.106631461
ARHGEF11 ,-0.058013698
ARHGEF12 ,-0.063133808
ARHGEF15 ,-0.047234807
ARHGEF16 ,0.026184056
ARHGEF17 ,-0.169174917
ARHGEF18 ,0.184515962
ARHGEF19 ,-0.045695455
ARHGEF2 ,-0.111526813
ARHGEF25 ,0.012765216
ARHGEF26 ,-0.066036012
ARHGEF28 ,0.045566352
ARHGEF3 ,-0.036436718
ARHGEF33 ,-0.228060293
ARHGEF37 ,-0.017907668
ARHGEF38 ,-0.131537771
ARHGEF39 ,0.06097236
ARHGEF4 ,0.113478048
ARHGEF40 ,-0.042395532
ARHGEF5 ,-0.485903586
ARHGEF6 ,0.051157562
ARHGEF7 ,0.065277042
ARHGEF9 ,0.036211989
ARID1A ,-0.094044996
ARID1B ,0.035183139
ARID2 ,-0.260054354
ARID3A ,-0.31077674
ARID3B ,-0.087662664
ARID3C ,0.058725077
ARID4A ,0.145245331
ARID4B ,-0.067288866
ARID5A ,-0.198518668
ARID5B ,-0.342515375
ARIH1 ,-1.66221682
ARIH2 ,-0.152757906
ARIH2OS ,0.143644443
